source	target
Adema	Sexart
Adil Omar	Cypress Hill
Adil Omar	Saturday Night Killing Machine
Adler's Appetite	Steven Adler
Adler (band)	Adler's Appetite
Adler (band)	Steven Adler
Adolescents (band)	Agent Orange (band)
Adolescents (band)	D.I. (band)
Adolescents (band)	Frank Agnew
Adolescents (band)	Rikk Agnew
Adolescents (band)	Social Distortion
Adolescents (band)	Tony Cadena
Adrenaline Mob	Extreme (band)
Adrenaline Mob	Mike Portnoy
Adrenaline Mob	Russell Allen
Adrián Terrazas-González	EL REGIMEN Collective
Adrian Belew	David Bowie
Adrian Belew	King Crimson
Adrian Belew	Tom Tom Club
Adrian Smith	Urchin (band)
Adrift (band)	Cannibal Corpse
Adrift (band)	Deicide (band)
Adrift (band)	Jack Owen
Adventure Club	Krewella
Adventures in Stereo	Jim Beattie (musician)
Adventures in Stereo	Primal Scream
Aerosmith	Brad Whitford
Aerosmith	Chain Reaction (1960s band)
Aerosmith	Jimmy Crespo
Aerosmith	Joe Perry (musician)
Aerosmith	Joey Kramer
Aerosmith	Lenny Kravitz
Aerosmith	Ray Tabano
Aerosmith	Rick Dufay
Aerosmith	Steven Tyler
Aerosmith	Tom Hamilton (musician)
Aesop Rock	El-P
Aesop Rock	John Darnielle
Aesop Rock	S.A. Smash
Aesop Rock	The Weathermen (hip hop group)
Aeternus	Ares (musician)
Aeternus	Gorgoroth
Aeternus	Immortal (band)
AFI (band)	Adam Carson
AFI (band)	Blaqk Audio
AFI (band)	Davey Havok
AFI (band)	Hunter Revenge
AFI (band)	XTRMST
Afrika Islam	Ice-T
Afrikan Boy	M.I.A. (rapper)
Afro-Cubans (band)	Machito
Afrojack	Bassjackers
Afrojack	Chuckie (DJ)
Afrojack	David Guetta
Afrojack	Dimitri Vegas & Like Mike
Afrojack	Hardwell
Afrojack	Laidback Luke
Afrojack	Martin Garrix
Afrojack	Nervo (duo)
Afrojack	Nicky Romero
Afrojack	Pitbull
Afrojack	R3hab
Afrojack	Sidney Samson
Afrojack	Steve Aoki
Afrojack	Tiësto
Afrojack	Vassy (singer)
After Hours (rock band)	Neil Finn
After Midnight Project	Jason Evigan
Aftershock (band)	Killswitch Engage
Aftershock (band)	Shadows Fall
Against All Will	Puddle of Mudd
Age of Silence	Borknagar
Age of Silence	Lars Nedland
Agent Orange (band)	Social Distortion
Agent Orange (band)	The Adolescents
Agent Provocateur (band)	Bow Wow Wow
Agent Provocateur (band)	Mekon (musician)
Agent Steel	Death (metal band)
Agent Steel	Evildead
Agent Steel	Fates Warning
Agent Steel	Grinchfist
Agent Steel	Obituary (band)
Agent Steel	Redemption (band)
Agents of Oblivion	Dax Riggs
Aggro Santos	Kimberley Walsh
Agnes Monica	Ahmad Dhani
Agnetha Fältskog	Anni-Frid Lyngstad
Agnetha Fältskog	Björn Ulvaeus
Agnetha Fältskog	Gary Barlow
Agnez Mo	Go Go (singer)
Agnez Mo	Ne-Yo
Agnez Mo	Timbaland
Agnostic Front	Agnostic Front#Members
Agnostic Front	Madball
