source	target
Gnarls Barkley	Josh Klinghoffer
Gnarls Barkley	MF Doom
Gnarls Barkley	Red Hot Chili Peppers
Go Ahead (band)	Grateful Dead
Go Go (singer)	Jay-Z
Go Go (singer)	Jennifer Hudson
Go Go (singer)	Kanye West
Go Go (singer)	Las Ketchup
Go Go (singer)	Ludacris
Go Go (singer)	Mulan Jameela
Go Go (singer)	Nike Ardilla
Go Go (singer)	Pitbull (rapper)
Go Go (singer)	R. Kelly
Go Go (singer)	Rihanna
Go Go (singer)	Timothy Bloom
Go West (band)	Level 42
Go West (band)	Peter Cox (musician)
God Seed	Gorgoroth
God Seed	Ov Hell
Godflesh	Justin Broadrick
Godflesh	Napalm Death
Godflesh	Paul Neville (musician)
Godflesh	Prong (band)
Godhead (band)	Jason C. Miller
Godhead (band)	Marilyn Manson
Godhead (band)	Marilyn Manson (band)
Godsmack	Lo-Pro
Godsmack	Meliah Rage
Godsmack	Sully Erna
Gogmagog (band)	Iron Maiden
Gogmagog (band)	Iron Maiden#Band members
Gogmagog (band)	Paul Di'Anno
Gojira (band)	Mastodon (band)
Gold Motel	Greta Salpeter
Gold Motel	The Hush Sound
Gone Is Gone	Queens of the Stone Age
Gone Is Gone	Troy Sanders
Good Charlotte	Joel Madden
Good Charlotte	Lionel Richie
Good Charlotte	Mest
Good Riddance (band)	Only Crime
Good Riddance (band)	Russ Rankin
Goodie Mob	OutKast
Goon Moon	Jeordie White
Goon Moon	Josh Homme
Goon Moon	Masters of Reality
GoonRock	LMFAO
GoonRock	Redfoo
Gordian Knot (band)	Æon Spoke
Gordian Knot (band)	Sean Malone
Gordie Sampson	Rascal Flatts
Gordon Gano	Violent Femmes
Gordon Haskell	King Crimson
Gordon Haskell	Les Fleur de Lys
Gore Gore Girls	Paula Regalado
Gore Gore Girls	The All-Girl Boys Choir
Gorgon City	MNEK
Gorgoroth	I (band)
Gorgoroth	Immortal (band)
Gorgoroth	Infernus
Gorgoroth	Obituary (band)
Gorgoroth	Obtained Enslavement
Gorgoroth	Orcustus
Gorgoroth	Ov Hell
Gorgoroth	Pest (musician)
Gorgoroth	Sahg
Gorgoroth	Satyricon (band)
Gorgoroth	Wardruna
Gorilla Tek	Trick Daddy
Gorillaz	James Murphy (electronic musician)
Gorillaz	Lou Reed
Gorillaz	Massive Attack
Gorillaz	Monkey: Journey to the West
Gorillaz	Rocket Juice & the Moon
Gorillaz	Snoop Dogg
Gorillaz	The Good, the Bad & the Queen
Got a Girl	Mary Elizabeth Winstead
Gotye	Kimbra
Gotye	The Basics
Gouryella	Tiësto
Gov't Mule	John Entwistle
Gov't Mule	Michael Barbiero
Gov't Mule	The Allman Brothers Band
Gov't Mule	Warren Haynes
GQ (band)	Keith Sweat
Grace Jones	Nile Rodgers
Grace Slick	Jefferson Airplane
Graduate (band)	Roland Orzabal
Graduate (band)	Tears for Fears
Grady Thomas	Parliament (band)
Graeham Goble	Mississippi (band)
Graham Coxon	Paul Weller
Graham Crabb	Pop Will Eat Itself
Graham Gouldman	The Hollies
Graham Gouldman	the Yardbirds
Graham Gouldman	The Yardbirds
Graham Nash	Jackson Browne
Graham Nash	Joni Mitchell
Graham Nash	The Hollies
Grand Funk Railroad	Mark Farner
Grand Funk Railroad	Todd Rundgren
Grandmaster Flash and the Furious Five	Melle Mel
Grandmaster Flash	Grandmaster Flash and the Furious Five
Grant Nicholas	Raindancer
Grant Nicholas	Renegades (band)
Grateful Dead	Heart of Gold Band
Grateful Dead	Janis Joplin
Grateful Dead	Jerry Garcia
Grateful Dead	Jerry Garcia Acoustic Band
Grateful Dead	Jerry Garcia Band
Grateful Dead	Joan Baez
Grateful Dead	Keith Godchaux
Grateful Dead	Kingfish (band)
Grateful Dead	Legion of Mary (band)
Grateful Dead	Mickey Hart
Grateful Dead	Missing Man Formation (band)
Grateful Dead	New Riders of the Purple Sage
Grateful Dead	Old and in the Way
Grateful Dead	Phil Lesh
Grateful Dead	Phil Lesh and Friends
Grateful Dead	Phish
Grateful Dead	RatDog
Grateful Dead	Reconstruction (band)
Grateful Dead	Rhythm Devils
Grateful Dead	Robert Hunter (lyricist)
Grateful Dead	Ron "Pigpen" McKernan
Grateful Dead	The Dead (band)
Grateful Dead	The Other Ones
Grateful Dead	The Tubes
Grateful Dead	Tom Constanten
Great Northern (indie band)	Solon Bixler
Great Northern (indie band)	Thirty Seconds to Mars
Great Speckled Bird (band)	Ian & Sylvia
Great Speckled Bird (band)	Ian Tyson
Green Day	Iggy Pop
Green Day	Mike Dirnt
Green Day	Pinhead Gunpowder
Green Day	Rancid (band)
Green Day	The Lookouts
Green Day	The Network
Green Day	Tré Cool
Green Jellÿ	Gwar
Green Jellÿ	Maynard James Keenan
Green Jellÿ	Tool (band)
Green River (band)	Jeff Ament
Green River (band)	Limp Richerds
Green River (band)	Pearl Jam
Greg 'Curly' Keranen	The Modern Lovers
Greg 'Curly' Keranen	The Rubinoos
Greg Camp	Smash Mouth
Greg Drudy	Interpol (band)
Greg Dulli	The Afghan Whigs
Greg Dulli	The Gutter Twins
Greg Dulli	The Twilight Singers
Greg Errico	Sly and the Family Stone
Greg Fidelman	Slayer
Greg Kurstin	The Bird and the Bee
Greg Ladanyi	Jackson Browne
Greg Lake	King Crimson
Greg Lake	The Gods (band)
Greg Laswell	Ingrid Michaelson
Greg Martin (musician)	The Kentucky Headhunters
Greg O'Haver	The New Christy Minstrels
Greg Puciato	Killer Be Killed
Greg Puciato	The Dillinger Escape Plan
Greg Thomas	Parliament (band)
Greg Tribbett	Mudvayne
Gregg Alexander	New Radicals
Gregg Allman	Gregg Allman Band
Gregg Allman	The Allman Brothers Band
Gregg Allman	The Allman Joys
Gregg Allman	The Hour Glass
Gregg Rolie	Santana (band)
Greta Salpeter	Springtime Carnivore
Gretchen Wilson	MuzikMafia
Grim Reaper	Lionsheart
Grimes (musician)	d'Eon
Grimes (musician)	Hana Pestle
Grimes (musician)	Janelle Monáe
Grimes (musician)	Majical Cloudz
Grimes (musician)	Nicole Dollanganger
Groove Armada	Sophie Barker
Groove Collective	Itaal Shur
Grooverider	Sophie Barker
Gruff Rhys	Super Furry Animals
GTR (band)	Genesis (band)
GTR (band)	Max Bacon
Gucci Mane	Marilyn Manson
Gucci Mane	Migos
Gucci Mane	Mike Will Made It
Gucci Mane	Yo Gotti
Gucci Mane	Young Scooter
Gucci Mane	Young Thug
Guns N' Roses	Izzy Stradlin
Guns N' Roses	Kings of Chaos (band)
Guns N' Roses	L.A. Guns
Guns N' Roses	Lenny Kravitz
Guns N' Roses	Matt Sorum
Guns N' Roses	Neurotic Outsiders
Guns N' Roses	Slash (musician)
Guns N' Roses	The Fartz
Guru (rapper)	Jamiroquai
Gus Arnheim	The Rhythm Boys
Gus Kahn	Johnny Green
Gus Kahn	Richard A. Whiting
Gustavo Dudamel	Simon Bolivar Youth Orchestra
Guster	Joe Pisapia
Guster	Mike Shipley
Guster	Ryan Miller (musician)
Guster	The LeeVees
Guy-Manuel De Homem-Christo	Kavinsky
Guy-Manuel de Homem-Christo	Kavinsky
Guy Fletcher	The Notting Hillbillies
Guy Hoffman	Violent Femmes
Guy Sebastian	Jordin Sparks
Guy Sebastian	Lupe Fiasco
Guy Sebastian	Sam Martin (singer)
Guy Sebastian	Steve Cropper
Gwar	Jizmak Da Gusha
Gwar	Kepone (band)
Gwar	List of Gwar members
Gwar	Michael Bishop (bassist)
Gwar	Rigor Mortis (band)
Gwar	Rise Against
Gwar	X-Cops (band)
Gwen Stefani	No Doubt
Gwen Stefani	Pharrell Williams
Gwen Stefani	Sublime (band)
Gym Class Heroes	Travie McCoy
Gym Class Heroes	Tyga
GZR	Geezer Butler
GZR	Geezer Butler Band
GZR	Red Hot Chili Peppers
H-Town (band)	Jodeci
H-Town (band)	Playa (band)
H.P. Baxxter	Scooter (band)
Héctor Lavoe	Willie Colón
Hélène Segara	Laura Pausini
H2O (American Band)	Juliette and the Licks
Hadouken!	Meg (singer)
Hadouken!	The Midnight Beast
Hagfish (band)	Rise Against
Hagfish (band)	Zach Blair
Hal Blaine	The Wrecking Crew (music)
Hal David	Jackie DeShannon
Hal Patino	King Diamond (band)
Halestorm	Lzzy Hale
Haley Gibby	Kaskade
Haley Reinhart	Postmodern Jukebox
Half Noise	Novel American
Half Noise	Paramore
Half Noise	Zac Farro
Halfnelson (band)	Ron Mael
Halford (band)	Judas Priest
Halford (band)	Rob Halford
Hall & Oates	John Oates
Halle Mordu	Seyi Shay
Hammer of The Last Two	Sarkodie (rapper)
Hanatarash	Yamantaka Eye
Hank Ballard	The Midnighters
Hank Cochran	Patsy Cline
Hank Williams III	Melvins
Hank Williams III	Superjoint Ritual
Hank Williams Jr.	Kid Rock
Hans Zimmer	James Newton Howard
Happy Goodman Family	Howard Goodman
Happy Mondays	Shaun Ryder
Hardwell	Jason Derulo
Hardwell	KURA
Hardwell	Martin Garrix
Hardwell	Matthew Koma
Hardwell	MOTi
Hardwell	Quintino (DJ)
Hardwell	R3hab
Hardwell	Tiësto
Hardwell	W&W
Harlan Howard	Jan Howard
Harmonia (band)	Michael Rother
Harmonia (band)	Neu!
Harmony Samuels	Michelle Williams (singer)
Harold Arlen	Johnny Mercer
Harold Lilly (songwriter)	Luther Vandross
Harold Lilly (songwriter)	Vincent L. Berry
Harold Lilly (songwriter)	Zayn Malik
Harold Melvin & The Blue Notes	Teddy Pendergrass
Harry Belafonte	Paul Simon
Harry Crews (band)	Kim Gordon
Harry Crews (band)	Sonic Youth
Harry Fraud	Riff Raff (rapper)
Harry Fraud	Sean Price
Harry Fraud	Smoke DZA
Harry Fraud	Wiz Khalifa
Harry Nilsson	John Lennon
Harry Nilsson	Perry Botkin, Jr.
Harry Nilsson	Van Dyke Parks
Harry Vanda	The Easybeats
Harry Vanda	Vanda & Young
Harry Warren	Johnny Mercer
Harry Wayne Casey	KC and the Sunshine Band
Haruomi Hosono	Van Dyke Parks
Haruomi Hosono	Yellow Magic Orchestra
Harvey Fuqua	Marvin Gaye
Harvey Fuqua	The Moonglows
Harvey Fuqua	The Spinners (American R&B group)
Hater (band)	John McBain (musician)
Hater (band)	Matt Cameron
Hater (band)	Soundgarden
Hatriot (band)	Testament (band)
Havana 3am	Nigel Dixon
Havana 3am	The Clash
Havoc & Prodeje	South Central Cartel
Havoc (musician)	Mobb Deep
Hawk Nelson	Jonathan Steingard
Hawk Nelson	PAX217
Hawkwind	List of Hawkwind band members
Hawkwind	Motörhead
Hawkwind	Space Ritual (band)
Hayley Williams	Joy Williams (singer)
Hayley Williams	New Found Glory
Hayley Williams	Paramore
Hayley Williams	Zedd (musician)
He Is Legend	Sean Danielsen
Head (US band)	Tony Levin
Head Wound City	Jordan Blilie
Head Wound City	The Blood Brothers (band)
Head Wound City	Yeah Yeah Yeahs
Headgirl	Motörhead
Headhunterz	W&W
Headhunterz	Wildstylez
Hear'Say	Liberty X
Hear 'n Aid	Jimmy Bain
Heart (band)	Nancy Wilson (rock musician)
Heart (band)	Roger Fisher (guitarist)
Heart of Gold Band	Keith Godchaux
Heartbreak Gang	Iamsu!
Heathen (band)	Laaz Rockit
Heathen (band)	Prototype (band)
Heathen (band)	Ulysses Siren
Heather Bright	Porter Robinson
Heather Small	Hot House (British band)
Heather Small	M People
Heaven & Hell (band)	Tony Iommi
Heaven Below	Patrick Kennison
Heaven Below	SEISMATIK
Heavy D	Jodeci
Heavy D	LeVert
Heavy Stereo	Oasis (band)
Hector & Tito	Nicky Jam
Heidi Range	Sugababes
Heitor Pereira	Ivan Lins
Helen Reddy	Olivia Newton-John
Hell Rell	The Diplomats
Hella (band)	Spencer Seim
Hello People	Todd Rundgren
Hellyeah	Jerry Montano
Hellyeah	Knives Out!
Hellyeah	Mudvayne
Hellyeah	Nothingface
Hellyeah	Pantera
Helmet (band)	Page Hamilton
Helmet (band)	The Mark of Cain (band)
Hemophiliac (band)	Mike Patton
Henning Schmitz	Kraftwerk
Henry Cow	Slapp Happy
Henry D. "Homer" Haynes	Homer and Jethro
Henry D. Haynes	Homer and Jethro
Henry Fambrough	The Spinners (American R&B group)
Henry Mancini	Johnny Mercer
Henry McCullough	Wings (band)
Henry Padovani	The Police
Henry Rollins	Iggy Pop
Henry Small (singer)	John Entwistle
Henry Small (singer)	Prism (band)
Henry Small (singer)	Scrubbaloe Caine
Herb Alpert	The Tijuana Brass
Herbie Flowers	Sky (band)
Herbie Flowers	T. Rex (band)
Herbie Hancock	Joni Mitchell
Heresy (band)	Unseen Terror
Herman's Hermits	Jimmy Page
Herman Brood	Lene Lovich
Herman Brood	Nina Hagen
Herman Matthews	Sara Niemietz
Herman Santiago	The Teenagers
Hide (musician)	Rain (Japanese band)
Hide (musician)	X Japan
Hide (musician)	Zilch (band)
Hideki Matsutake	Yellow Magic Orchestra
Hijokaidan	Incapacitants
Hijokaidan	Merzbow
Hikaru Utada	Jimmy Jam and Terry Lewis
Hillary Scott (singer)	Lady Antebellum
Hillary Scott (singer)	Linda Davis
Hillel Slovak	Red Hot Chili Peppers
Hilton Valentine	The Animals
HIM (Finnish band)	The 69 Eyes
HIM (Finnish band)	The Rasmus
HIM (Finnish band)	To Separate the Flesh from the Bones
Hindu Love Gods (band)	R.E.M.
Hironobu Kageyama	Lazy (band)
Hiroyuki Tanaka (bassist)	Lazy (band)
Hisham Bharoocha	Lightning Bolt (band)
Hisham Bharoocha	Soft Circle
Hoagy Carmichael	Johnny Mercer
Hoagy Carmichael	Sidney Arodin
HoBoLeMa	King Crimson
Hodgy Beats	MellowHigh
Hodgy Beats	Odd Future
Hole (band)	Pagan Babies (band)
Hole (band)	Shadow Project
Hole (band)	Sugar Babydoll
Hole (band)	The Smashing Pumpkins
Holland–Dozier–Holland	Lamont Dozier
Holy Moses	Nuclear Assault
Holy Moses	Sabina Classen
Home Free (group)	Kenny Rogers
Home Town Hero	Under the Influence of Giants
Homer and Jethro	Kenneth C. "Jethro" Burns
Homer and Jethro	The Carter Family
Hoobastank	Vanessa Amorosi
Hoodie Allen	Jared Evan
Hoodie Allen	Kina Grannis
Hoodie Allen	Mark Saavedra
Hoodie Allen	Max Schneider
Hoodie Allen	Moosh and Twist
Hoodie Allen	Shwayze
Hoodie Allen	Skizzy Mars
Hope Sandoval	Mazzy Star
Horace Andy	Massive Attack
Hot Boys	Juvenile (rapper)
Hot Chip	James Murphy (electronic musician)
Hot Chip	LCD Soundsystem
Hot Chip	Major Lazer
Hot Chip	New Build
Hot Chip	The 2 Bears
Hot Chip	The Invisible (band)
Hot Cross	Interpol (band)
Hot Cross	Saetia
Hot Gossip	Sarah Brightman
Hot Leg	Justin Hawkins
Hot Leg	The Darkness (band)
Hot Snakes	Pitchfork (band)
Hot Snakes	Rick Froberg
Hot Tuna	Jack Casady
Hot Tuna	Jefferson Airplane
Hot Tuna	Joey Covington
Hot Tuna	Jorma Kaukonen
Hot Tuna	Michael Falzarano
Hot Water Music	The Draft (band)
House of Pain	La Coka Nostra
House of Pain	Limp Bizkit
Hovercraft (band)	Pearl Jam
How to Destroy Angels (band)	Nine Inch Nails
How to Destroy Angels (band)	Tapeworm (band)
How to Destroy Angels (band)	Trent Reznor
How To Destroy Angels (band)	West Indian Girl
Howard Devoto	Luxuria (band)
Howard Hewett	Shalamar
Howard Jones (American musician)	Killswitch Engage
Howard Leese	The Zoo (Los Angeles band)
Howard Stern	Rob Zombie
Howie Epstein	Tom Petty and the Heartbreakers
Hudson Mohawke	Rustie
Huey Lewis and the News	Johnny Colla
Huey Lewis and the News	Nick Lowe
Huey Lewis and the News	Robert John "Mutt" Lange
Huey Lewis	Huey Lewis and the News
Huey Lewis	King Harvest
Huey Lewis	Lauren Turner
Huey Lewis	Orleans (band)
Huey Lewis	Thin Lizzy
Huey Lewis	Tom Riepl
Hugh Cornwell	The Stranglers
Hugh Hopper	The Wilde Flowers
Hugo Fattoruso	Rubén Rada
Hugo Ferreira	Tantric (band)
Human Waste Project	John Monte
Human Waste Project	The Start (American band)
Human Waste Project	TheStart
Humble Pie (band)	Peter Frampton
Humble Pie (band)	Steve Marriott
Hummingbird (band)	The Jeff Beck Group
Humphrey Lyttelton	Johnny Parker (jazz pianist)
Humphrey Lyttelton	Tony Coe
Hunt Sales	Tin Machine
Hurricane No. 1	Ride (band)
Hurts	Theo Hutchcraft
HWA (group)	N.W.A
Hypocrisy (band)	Immortal (band)
Hypocrisy (band)	Lindemann (band)
Hypocrisy (band)	Pain (musical project)
Hypocrisy (band)	Peter Tägtgren
Hypocrisy (band)	Rammstein
I (band)	Immortal (band)
I (band)	Olve Eikemo
Iamsu!	Kehlani
Iamsu!	Sage the Gemini
Iamsu!	Ty Dolla Sign
Iamsu!	Wiz Khalifa
Ian & Sylvia	Ian Tyson
Ian Astbury	Southern Death Cult
Ian Astbury	The Cult
Ian Bernard	Wild Colonials
Ian Broudie	The Lightning Seeds
Ian Brown	Noel Gallagher
Ian Brown	The Stone Roses
Ian Craig Marsh	The Human League
Ian Dury	The Blockheads
Ian Hill	Judas Priest
Ian Hunter (singer)	Jimmy Bain
Ian Hunter (singer)	Mott the Hoople
Ian Jazzi	Sarkodie (rapper)
Ian McDonald (musician)	King Crimson
Ian McLagan	Small Faces
Ian North	Milk 'N' Cookies
Ian North	Neo (UK band)
Ian Stewart (musician)	The Rolling Stones
Ian Tyson	Judy Collins
Ian Wallace (drummer)	King Crimson
Ian Wallace (drummer)	Yes (band)
Ian Watkins (Lostprophets)	Lostprophets
Ian Watkins (Lostprophets)	Public Disturbance (Welsh band)
Ian Watkins (Lostprophets)	The Blackout (band)
Ian Williams (musician)	Storm & Stress
Ibex (band)	Queen (band)
Ibliss	Kraftwerk
Ice-T	Kool Keith
Ice-T	Low Profile
Ice-T	Motörhead
Ice-T	Quincy Jones
Ice-T	Tha Alkaholiks
Ice-T	Tupac Shakur
Ice-T	Upon a Burning Body
Ice Cube (rapper)	Ice-T
Ice Cube	Korn
Ice Cube	Lil Jon
Ice Cube	Nate Dogg
Ice Cube	Tupac Shakur
Ice Prince	Jesse Jagz
Ice Prince	L.A.X (musician)
Ice Prince	Legendury Beatz
Ice Prince	M.I
Ice Prince	Ruby Gyang
Ice Prince	Sarkodie (rapper)
Ice Prince	Tekno Miles
Ice Prince	Wizkid (musician)
Ice T	Tupac Shakur
Iced Earth	Jon Schaffer
Icona Pop	One Direction
Icona Pop	Sirah (rapper)
Icona Pop	The Cataracs
Icona Pop	Tiësto
Icona Pop	Tove Lo
Icona Pop	Travie McCoy
Idris Elba	Macklemore
Iggy Pop	John Cale
Iggy Pop	Josh Homme
Iggy Pop	Lou Reed
Iggy Pop	Rob Duprey
Iggy Pop	Rob Zombie
Iggy Pop	Slash (musician)
Iggy Pop	The Cramps
Iggy Pop	The Nymphs
Iggy Pop	The Stooges
Iggy Pop	The Trolls
Iggy Pop	Tom Waits
Ike & Tina Turner	Ike Turner
Ike & Tina Turner	Tina Turner
Ike Turner	Tina Turner
Ilja Rosendahl	Latent Anxiety
Ill Niño	Marc Rizzo
Ill Niño	Soulfly
Illbliss	Mode 9
Illbliss	Phyno
Im Yoona	SM Town
Imagine Dragons	Kendrick Lamar
Imagine Dragons	The Moth & the Flame
Imagine Dragons	X Ambassadors
Immediate_All-Stars	Screaming Lord Sutch and the Savages
Immortal (band)	Mayhem (band)
Immortal (band)	Old Funeral
Immortal (band)	Olve Eikemo
IMx	Marques Houston
IMx	Tom Gurl Four
In This Moment	Maria Brink
In This Moment	Motionless in White
In This Moment	World Under Blood
In Vain (band)	Solefald
Inara George	The Bird and the Bee
Inara George	Van Dyke Parks
Incantation (band)	John McEntee (musician)
Incantation (band)	Mortician (band)
Incognito (band)	Jean-Paul 'Bluey' Maunick
Incognito (band)	Light of the World (band)
Indigo Girls	Joan Baez
Infamous Mobb	Mobb Deep
Infectious Grooves	Mike Muir
Infectious Grooves	Robert Trujillo
Infectious Grooves	Suicidal Tendencies
Infernus	Orcustus
Inger Lorre	The Nymphs
Ingrid Michaelson	Joshua Radin
Ingrid Michaelson	Lennon & Maisy
Ingrid Michaelson	Sara Bareilles
Ingrid Michaelson	William Fitzsimmons (musician)
Inner City Posse	Kid Rock
Innosense	N Sync
Inoran	Luna Sea
Insane Clown Posse	John Kickjazz
Insane Clown Posse	Kottonmouth Kings
Insane Clown Posse	Violent J
Inside Out (band)	Rage Against the Machine
Inside Out (band)	Zack de la Rocha
Inspiral Carpets	Noel Gallagher
Inspiral Carpets	Noel Gallagher's High Flying Birds
Inspiral Carpets	Tom Hingley and the Lovers
International Superheroes of Hardcore	New Found Glory
Interpol (band)	Magnetic Morning
Interpol (band)	Paul Banks (singer)
Interpol (band)	Saetia
Interpol (band)	Secret Machines
Intro (band)	Kenny Greene
Invincible Overlord	No Doubt
Invincible Overlord	Tom Dumont
INXS	Jimmy Barnes
INXS	Matt Corby
INXS	Nile Rodgers
Irene Cara	Sean Combs
Irene Cara	The Electric Company
Iron City Houserockers	Joe Grushecky
Iron Maiden	Iron Maiden#Band members
Iron Maiden	Paul Di'Anno
Iron Maiden	Praying Mantis (band)
Iron Maiden	Rise to Remain
Iron Maiden	Samson (band)
Iron Maiden	The Entire Population of Hackney
Iron Maiden	Trust (French band)
Iron Maiden	Urchin (band)
Iron Maiden#Band members	Iron Maiden#Band members
Iron Maiden#Band members	Praying Mantis (band)
Iron Maiden#Band members	Samson (band)
Iron Maiden#Band members	The Entire Population of Hackney
Iron Maiden#Band members	Trust (French band)
Iron Maiden#Band members	Urchin (band)
Irv Gotti	Ja Rule
Isaac Brock (musician)	Modest Mouse
Isham Jones	Woody Herman
Isis (band)	Jeff Caxide
Isobel Campbell	Mark Lanegan
Israel Houghton	New Breed (band)
Itaal Shur	Rob Thomas (musician)
IU (singer)	Jimmy Jam and Terry Lewis
IU (singer)	LOEN Tree
Ivy Queen	Ñengo Flow
Ivy Queen	Wisin & Yandel
Iyanya	M.I
Iyanya	Maleek Berry
Iyanya	Tekno Miles
Iyanya	Tiwa Savage
Iyanya	Vector (musician)
Iyanya	Wizkid (musician)
J (musician)	Luna Sea
J Alvarez	Ñengo Flow
J Balvin	Justin Bieber
J Balvin	Nicky Jam
J Dilla	Slum Village
J Town	Shatta Wale
J. Clark (musician)	Jaguar Love
J. Cole	Jay Z
J. Cole	Jeremih
J. Cole	Kendrick Lamar
J. Cole	Miguel (singer)
J. Cole	Nas (rapper)
J. Cole	Omen (rapper)
J. Cole	Wale (rapper)
J. D. Crowe	New South (band)
J. D. Souther	Waddy Wachtel
J. J. Fad	N.W.A
J. W. Alexander (musician)	Sam Cooke
J.D. Crowe & The New South	Tony Rice
Jack Ü	Justin Bieber
Jack Ü	Kai (Alessia De Gasperis Brigante)
Jack Ü	Kiesza
Jack Ü	Kyary Pamyu Pamyu
Jack Ü	Sean Combs
Jack Ü	Skrillex
Jack Ü	Yellow Claw
Jack Antonoff	Steel Train
Jack Antonoff	Taylor Swift
Jack Black	Meat Loaf
Jack Black	Probot
Jack Black	Queens of the Stone Age
Jack Black	Ronnie James Dio
Jack Black	Tenacious D
Jack Casady	Jefferson Airplane
Jack Dishel	Regina Spektor
Jack Greene	Jeannie Seely
Jack Hues	Wang Chung (band)
Jack Irons	Red Hot Chili Peppers
Jack Irons	The Wallflowers
Jack London & The Sparrows	Steppenwolf (band)
Jack London & The Sparrows	The Mynah Birds
Jack Maness	Long Beach Dub Allstars
Jack Nimitz	Supersax
Jack Off Jill	Jessicka
Jack Off Jill	Marilyn Manson
Jack off Jill	Marilyn Manson (band)
Jack Off Jill	Scarling.
Jack White (musician)	Seasick Steve
Jack White	Jimmy Page
Jack White	Meg White
Jack White	The Dead Weather
Jack White	The Go
Jack White	The Raconteurs
Jack White	The Upholsterers
Jack White	The White Stripes
Jackie Jackson	The Jackson 5
Jackie McKeown	The Yummy Fur
Jackie Wilson	LaVern Baker
Jackson Browne	Joan Baez
Jackson Browne	Linda Ronstadt
Jackson Browne	Little Steven
Jackson Browne	Neil Young
Jackson Browne	Nitty Gritty Dirt Band
Jackson Browne	Roy Orbison
Jackson Browne	The Chieftains
Jackson Browne	Waddy Wachtel
Jackson Browne	Warren Zevon
Jacky Clark Chisholm	The Clark Sisters
Jaco Pastorius	Joni Mitchell
Jaco Pastorius	Weather Report
Jacob Latimore	Mindless Behavior
Jacob Latimore	OMG Girlz
Jacob Latimore	Trevor Jackson (performer)
Jacoby Shaddix	Papa Roach
Jacques Brel	Rod McKuen
Jacqui McShee	Pentangle (band)
Jadakiss	Lloyd Banks
Jadakiss	Skyzoo
Jadakiss	The L.O.X
Jadakiss	The Lox
Jade Ewen	Sugababes
Jaden Smith	Justin Bieber
Jaden Smith	Stwo
Jaden Smith	Willow Smith
Jag Panzer	Megadeth
Jagged Edge (group)	Jermaine Dupri
Jagged Edge (group)	Tony Yayo
Jaguar Love	Johnny Whitney
Jaguar Love	The Blood Brothers (band)
Jaguar Skills	The Prodigy
Jaguares (band)	Saúl Hernández
Jaguares (band)	Sabo Romo
Jah Paul Jo	The Prime Movers (Los Angeles band)
Jaimoe	The Allman Brothers Band
Jake Hanna	Supersax
Jake Hess	The Statesmen Quartet
Jake Miller (rapper)	The Ready Set
Jake Owen	Kenny Chesney
Jake Owen	Little Big Town
Jake Owen	Sugarland
Jake Shears	Scissor Sisters
Jake Stanczak	Korn
Jakki Tha Motamouth	The Weathermen (hip hop group)
Jakko Jakszyk	King Crimson
Jakob Dylan	The Wallflowers
Jakszyk, Fripp and Collins	King Crimson
Jam Master Jay	Run–D.M.C.
James "J.T." Taylor	Kool & the Gang
James Alexander (musician)	The Bar-Kays
James Anthony Carmichael	The Olympics
James B. Davis (musician)	The Dixie Hummingbirds
James Blake (musician)	Majical Cloudz
James Blake (musician)	Mount Kimbie
James Blake (musician)	RZA
James Blake (musician)	Trim (rapper)
James Blunt	Laura Pausini
James Brown (musician)	Maceo Parker
James Brown	Lyn Collins
James Brown	Tammi Terrell
James Brown	The Dapps
James Brown	The Famous Flames
James Brown	The J.B.'s
James Brown	Vicki Anderson
James Burton	TCB Band
James Cotton	Muddy Waters
James Dean Bradfield	Manic Street Preachers
James Fauntleroy	Justin Timberlake
James Ford (musician)	Simian Mobile Disco
James Gang	Jim Fox (drummer)
James Gang	Joe Walsh
James Gang	The Who
James Gang	Zephyr (band)
James Guthrie (record producer)	Pink Floyd
James Hetfield	Metallica
James Honeyman-Scott	The Pretenders
James Hutchinson (musician)	The Neville Brothers
James Ingram	Kenny Rogers
James Ingram	Ray Charles
James Jamerson	The Funk Brothers
James Last	Milva
James Litherland	Mogul Thrash
James Mercer (musician)	The Shins
James Mtume	Reggie Lucas
James Murphy (electronic musician)	LCD Soundsystem
James Murphy (electronic musician)	Out Hud
James Murphy (electronic musician)	Pulp (band)
James Murphy (electronic musician)	Six Finger Satellite
James Murphy (electronic musician)	Soulwax
James Murphy (electronic musician)	The Juan MacLean
James Murphy (electronic musician)	The Rapture (band)
James Murphy (electronic musician)	Yeah Yeah Yeahs
James Shaffer	Korn
James Shaffer	L.A.P.D. (band)
James Skelly	The Coral
James Taylor	Joni Mitchell
James Taylor	Paul Simon
James Taylor	Waddy Wachtel
James Vincent McMorrow	Kygo
James Williamson (musician)	The Stooges
Jamey Johnson	Randy Houser
Jamey Johnson	Trace Adkins
Jamie Foxx	John Legend
Jamie Foxx	Kanye West
Jamie Foxx	Ludacris
Jamie Foxx	T.I.
Jamie Foxx	The-Dream
Jamie Foxx	Timbaland
Jamie Muir	King Crimson
Jamie N Commons	Kid Harpoon
Jamie N Commons	X Ambassadors
Jamie xx	Popcaan
Jamie xx	The xx
Jamiroquai	Jay Kay
Jamiroquai	Julian Perretta
Jamiroquai	Matt Johnson (keyboardist)
Jamiroquai	Mike Spencer
Jamiroquai	Radio Silence (band)
Jammer (rapper)	Jme (MC)
